수행부서명,프로젝트명,시작일,종료일,포트폴리오,수주계약금액,수주부서명,고객명
Cloud사업컨설팅팀,kt cs 홈페이지 Cloud Ent전환_7년차,2022.05.03,2023.05.02,ITO,"43,503,012",그룹영업팀,(주)케이티씨에스
Cloud사업혁신팀,헬스허브 클라우드 서비스,2021.01.28,2024.01.27,ITO,"366,935,040",유통영업팀,(주)헬스허브
Cloud사업혁신팀,한국가상화폐거래소(KOVEX) 클라우드이용(3년차),2021.04.01,2022.03.31,ITO,"65,282,280",유통영업팀,코벡스 주식회사
Cloud사업혁신팀,kt NexR 홈페이지 Cloud서비스_6년차,2021.04.22,2022.04.21,ITO,"8,400,000",그룹영업팀,(주)케이티넥스알
Cloud사업혁신팀,KAIST 안전관리시스템 Cloud 플랫폼 구축,2021.04.16,2022.04.15,ITO,"13,120,000",유통영업팀,한국과학기술원
Cloud사업혁신팀,Storywiz블라이스스토리AWS Cloud서비스,2021.05.12,2022.05.11,ITO,"23,545,878",그룹영업팀,(주)코리아리즘
Cloud사업혁신팀,한국가상화폐거래소(KOVEX) 운영서버 클라우드 청약,2021.05.24,2022.05.23,ITO,"134,430,000",유통영업팀,코벡스 주식회사
Cloud사업혁신팀,한국금융IT 연금계좌 ETF 매매신호 전송시스템 클라우드 청약,2021.06.14,2022.06.13,ITO,"8,265,600",유통영업팀,(주)한국금융아이티
Cloud사업혁신팀,[리셀러] 어다인 주식회사 Cloud 시스템 구축,2021.07.21,2022.07.20,ITO,"1,538,580",유통영업팀,어다인 주식회사
Cloud사업혁신팀,[테크] 엔에스케이덴탈코리아 Cloud 서비스,2021.08.01,2022.07.31,ITO,"1,782,240",유통영업팀,엔에스케이덴탈코리아 주식회사
Cloud사업혁신팀,나스미디어 광고송출플랫폼 AWS 구축 (2021년도),2021.07.16,2022.07.15,ITO,"657,432,052",그룹영업팀,(주)나스미디어
Cloud사업혁신팀,kt telecop All-IoT 시스템 VPC 클라우드 이용 (21년),2021.08.01,2022.07.31,ITO,"375,600,000",그룹영업팀,주식회사 케이티텔레캅
